NombreProducto,FechaMovimiento,MontoBase,year
POLLO SIN MENUDENCIA H-C,2018-11-15,25.899,2018
POLLO SIN MENUDENCIA H-C,2018-11-15,49.751,2018
POLLO SIN MENUDENCIA H-C,2018-11-16,25.365,2018
POLLO SIN MENUDENCIA H-C,2018-11-16,49.484,2018
POLLO SIN MENUDENCIA H-C,2018-11-17,73.425,2018
POLLO SIN MENUDENCIA H-C,2018-11-17,45.568000000000005,2018
POLLO SIN MENUDENCIA H-C,2018-11-18,46.725,2018
POLLO SIN MENUDENCIA H-C,2018-11-18,136.79299999999998,2018
POLLO SIN MENUDENCIA H-C,2018-11-18,47.704,2018
POLLO SIN MENUDENCIA H-C,2018-11-18,25.365,2018
POLLO SIN MENUDENCIA H-C,2018-11-18,24.475,2018
POLLO SIN MENUDENCIA H-C,2018-11-18,25.009,2018
POLLO SIN MENUDENCIA H-C,2018-11-18,25.365,2018
POLLO SIN MENUDENCIA H-C,2018-11-18,24.475,2018
POLLO SIN MENUDENCIA H-C,2018-11-18,25.009,2018
POLLO SIN MENUDENCIA H-C,2018-11-18,48.861,2018
POLLO SIN MENUDENCIA H-C,2018-11-18,49.306,2018
POLLO SIN MENUDENCIA H-C,2018-11-18,24.03,2018
POLLO SIN MENUDENCIA H-C,2018-11-18,24.119000000000003,2018
POLLO SIN MENUDENCIA H-C,2018-11-19,24.03,2018
POLLO SIN MENUDENCIA H-C,2018-11-19,25.009,2018
POLLO SIN MENUDENCIA H-C,2018-11-19,25.009,2018
POLLO SIN MENUDENCIA H-C,2018-11-19,121.752,2018
POLLO SIN MENUDENCIA H-C,2018-11-19,21.805,2018
POLLO SIN MENUDENCIA H-C,2018-11-19,31.417,2018
POLLO SIN MENUDENCIA H-C,2018-11-19,24.475,2018
POLLO SIN MENUDENCIA H-C,2018-11-19,25.721,2018
POLLO SIN MENUDENCIA H-C,2018-11-19,25.899,2018
POLLO SIN MENUDENCIA H-C,2018-11-20,20.114,2018
POLLO SIN MENUDENCIA H-C,2018-11-20,22.517,2018
POLLO SIN MENUDENCIA H-C,2018-11-20,25.988,2018
POLLO SIN MENUDENCIA H-C,2018-11-20,20.114,2018
POLLO SIN MENUDENCIA H-C,2018-11-20,21.36,2018
POLLO SIN MENUDENCIA H-C,2018-11-20,39.783,2018
POLLO SIN MENUDENCIA H-C,2018-11-20,20.737,2018
POLLO SIN MENUDENCIA H-C,2018-11-20,40.584,2018
POLLO SIN MENUDENCIA H-C,2018-11-20,66.21600000000001,2018
POLLO SIN MENUDENCIA H-C,2018-11-20,46.725,2018
POLLO SIN MENUDENCIA H-C,2018-11-20,33.375,2018
POLLO SIN MENUDENCIA H-C,2018-11-21,76.006,2018
POLLO SIN MENUDENCIA H-C,2018-11-21,19.58,2018
POLLO SIN MENUDENCIA H-C,2018-11-21,25.009,2018
POLLO SIN MENUDENCIA H-C,2018-11-21,22.962,2018
POLLO SIN MENUDENCIA H-C,2018-11-21,24.92,2018
POLLO SIN MENUDENCIA H-C,2018-11-21,48.327,2018
POLLO SIN MENUDENCIA H-C,2018-11-21,49.217,2018
POLLO SIN MENUDENCIA H-C,2018-11-21,23.852,2018
